title,price,location,surface,rooms,baths,link,location_clean,city,district,price_capped,prix_m2,is_new,is_luxury,age_estime,type_bien,price_category,city_popularity,is_premium_city
Appartement socoma 85 m² quartier pièces,750000,"Appartements dans Marrakech, Autre secteur",85,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_socoma_85_m%C2%B2_quartier_pi%C3%A8ces_56266239.htm,"Marrakech, Autre secteur",marrakech,autre secteur,750000,8823.529411764706,False,False,15,appartement,very_high,58,True
Appartement à vendre 75 m² à Marrakech,720000,"Appartements dans Marrakech, Autre secteur",75,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Marrakech_55643174.htm,"Marrakech, Autre secteur",marrakech,autre secteur,720000,9600.0,False,False,15,appartement,very_high,58,True
Appartement à vendre à hay Salam Agadir,580000,"Appartements dans Agadir, Hay Salam",50,2,1,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_%C3%A0_hay_Salam_Agadir_57763122.htm,"Agadir, Hay Salam",agadir,hay salam,580000,11600.0,False,False,15,appartement,high,9,False
Appartement neuf 70m,560000,"Appartements dans Marrakech, Autre secteur",70,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_neuf_70m_56211723.htm,"Marrakech, Autre secteur",marrakech,autre secteur,560000,8000.0,True,False,0,appartement,high,58,True
43. Opportunité Logement Ain Sebaa,950000,"Appartements dans Casablanca, Ain Sebaa",78,2,2,https://www.avito.ma/fr/ain_sebaa/appartements/43__Opportunit%C3%A9_Logement_Ain_Sebaa_57121468.htm,"Casablanca, Ain Sebaa",casablanca,ain sebaa,950000,12179.48717948718,False,False,15,appartement,very_high,136,True
Très jolie appartement 88 mètres à Sala al Jadida,1200000,"Appartements dans Salé, Sala El Jadida",88,3,2,https://www.avito.ma/fr/sala_el_jadida/appartements/Tr%C3%A8s_jolie_appartement_88_m%C3%A8tres_%C3%A0_Sala_al_Jadida_57416683.htm,"Salé, Sala El Jadida",salé,sala el jadida,1200000,13636.363636363636,False,False,15,appartement,luxury,6,False
Appartement à vendre 60 m² 1balcon,470000,"Appartements dans Marrakech, Autre secteur",60,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_1balcon_56240441.htm,"Marrakech, Autre secteur",marrakech,autre secteur,470000,7833.333333333333,False,False,15,appartement,high,58,True
"Appartement 56 m², ascenseur, syndic, 5 minutes de Malabata",550000,"Appartements dans Tanger, Tanja Balia",56,2,1,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_56_m%C2%B2__ascenseur__syndic__5_minutes_de_Malabata_57838479.htm,"Tanger, Tanja Balia",tangier,tanja balia,550000,9821.42857142857,False,False,15,appartement,high,38,False
Joli appartement à vendre Abwab Marrakech,310000,"Appartements dans Marrakech, Les Portes de Marrakech",57,2,1,https://www.avito.ma/fr/les_portes_de_marrakech/appartements/Joli_appartement_%C3%A0_vendre_Abwab_Marrakech_57634279.htm,"Marrakech, Les Portes de Marrakech",marrakech,les portes de marrakech,310000,5438.596491228071,False,False,15,appartement,high,58,True
Appartement 2ème étage Mhamid 9,400000,"Appartements dans Marrakech, M'Hamid",65,2,2,https://www.avito.ma/fr/m_hamid/appartements/Appartement_2%C3%A8me_%C3%A9tage_Mhamid_9_57248351.htm,"Marrakech, M'Hamid",marrakech,m'hamid,400000,6153.846153846154,False,False,15,appartement,high,58,True
Bel Appartement à vendre 80 m² à Oujda 700000,700000,"Appartements dans Oujda, Autre secteur",80,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_700000_56652814.htm,"Oujda, Autre secteur",oujda,autre secteur,700000,8750.0,False,False,15,appartement,very_high,5,False
Appartement 3 chambres à vendre,1090000,"Appartements dans Kénitra, Mimosas",120,3,2,https://www.avito.ma/fr/mimosas/appartements/Appartement_3_chambres_%C3%A0_vendre_57667536.htm,"Kénitra, Mimosas",kénitra,mimosas,1090000,9083.333333333334,False,False,15,appartement,luxury,14,False
Appartement neuf haut standing,650000,"Appartements dans Dar Bouazza, Toute la ville",66,2,2,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_neuf_haut_standing_56888994.htm,"Dar Bouazza, Toute la ville",dar bouazza,toute la ville,650000,9848.484848484848,True,True,5,appartement,very_high,3,False
Appartement à vendre 56 m² à Casablanca,440000,"Appartements dans Casablanca, Sidi Moumen",56,2,1,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Casablanca_57803487.htm,"Casablanca, Sidi Moumen",casablanca,sidi moumen,440000,7857.142857142857,False,False,15,appartement,high,136,True
